Date,X,Y,Z,equip1,equip2
1988-01-07,146.0,,,,
1988-01-08,1556.0,,,,
1988-01-09,144.0,,,,
1988-01-11,1244.0,,,,
1988-01-12,1449.0,,,,
1988-02-08,1538.0,,,,
1988-02-09,1421.0,,,,
1988-02-11,1256.0,,,,
1988-02-12,145.0,,,,
1988-03-08,150.0,,,,
1988-03-10,1185.0,,,,
1988-03-11,1275.0,,,,
1988-04-07,1435.0,,,,
1988-04-08,1448.0,,,,
1988-04-10,1178.0,,,,
1988-04-11,1295.0,,,,
1988-05-07,143.0,,,,
1988-05-08,1463.0,,,,
1988-05-09,1399.0,,,,
1988-05-10,1135.0,,,,
1988-05-12,1434.0,,,,
1988-06-07,1468.0,,,,
1988-06-09,1378.0,,,,
1988-06-10,1147.0,,,,
1988-06-12,141.0,,,,
1988-07-07,1545.0,,,,
1988-07-09,135.0,,,,
1988-07-10,1149.0,,,,
1988-07-11,1296.0,,,,
1988-07-12,1429.0,,,,
1988-08-07,1505.0,,,,
1988-08-08,153.0,,,,
1988-08-09,1359.0,,,,
1988-08-11,1282.0,,,,
1988-08-12,147.0,,,,
1988-09-08,1534.0,,,,
1988-09-09,1372.0,,,,
1988-09-11,128.0,,,,
1988-09-12,1447.0,,,,
1988-10-08,1508.0,,,,
1988-10-10,120.0,,,,
1988-10-11,1295.0,,,,
1988-11-07,145.0,,,,
1988-11-08,1509.0,,,,
1988-11-10,1258.0,,,,
1988-11-11,1326.0,,,,
1988-12-07,141.0,,,,
1988-12-08,152.0,,,,
1988-12-09,1299.0,,,,
1988-12-10,1252.0,,,,
1988-12-12,1453.0,,,,
1989-01-02,158.0,,,,
1989-01-03,1658.0,,,,
1989-01-06,1761.0,,,,
1989-01-08,1672.0,,,,
1989-01-09,172.0,,,,
1989-01-11,1909.0,,,,
1989-01-12,1866.0,,,,
1989-02-02,1612.0,,,,
1989-02-03,1672.0,,,,
1989-02-05,1875.0,,,,
1989-02-06,175.0,,,,
1989-02-08,1637.0,,,,
1989-02-10,1837.0,,,,
1989-02-11,1904.0,,,,
1989-03-01,1572.0,,,,
1989-03-02,1617.0,,,,
1989-03-03,1695.0,,,,
1989-03-04,191.0,,,,
1989-03-05,1778.0,,,,
1989-03-07,1758.0,,,,
1989-03-08,1658.0,,,,
1989-03-10,1844.0,,,,
1989-03-11,1885.0,,,,
1989-04-01,1596.0,,,,
1989-04-04,1891.0,,,,
1989-04-05,1852.0,,,,
1989-04-07,1786.0,,,,
1989-04-08,164.0,,,,
1989-04-09,1736.0,,,,
1989-04-10,1851.0,,,,
1989-04-12,1916.0,,,,
1989-05-01,1591.0,,,,
1989-05-04,1925.0,,,,
1989-05-05,187.0,,,,
1989-05-06,1802.0,,,,
1989-05-07,1807.0,,,,
1989-05-09,1742.0,,,,
1989-05-10,1819.0,,,,
1989-05-12,1904.0,,,,
1989-06-01,1625.0,,,,
1989-06-02,1599.0,,,,
1989-06-03,1705.0,,,,
1989-06-04,1859.0,,,,
1989-06-06,180.0,,,,
1989-06-07,182.0,,,,
1989-06-09,1774.0,,,,
1989-06-10,1822.0,,,,
1989-06-11,1897.0,,,,
1989-06-12,1915.0,,,,
1989-07-02,1599.0,,,,
1989-07-03,1696.0,,,,
1989-07-04,185.0,,,,
1989-07-06,178.0,,,,
1989-07-07,175.0,,,,
1989-07-08,164.0,,,,
1989-07-09,1776.0,,,,
1989-07-11,1893.0,,,,
1989-07-12,1925.0,,,,
1989-08-02,1618.0,,,,
1989-08-03,1684.0,,,,
1989-08-05,1817.0,,,,
1989-08-06,173.0,,,,
1989-08-08,1632.0,,,,
1989-08-09,1772.0,,,,
1989-08-11,1877.0,,,,
1989-08-12,1912.0,,,,
1989-09-01,1634.0,,,,
1989-09-02,1605.0,,,,
1989-09-03,1726.0,,,,
1989-09-05,1775.0,,,,
1989-09-06,1756.0,,,,
1989-09-08,1652.0,,,,
1989-09-10,1812.0,,,,
1989-09-11,190.0,,,,
1989-10-01,162.0,,,,
1989-10-02,1582.0,,,,
1989-10-03,1711.0,,,,
1989-10-04,187.0,,,,
1989-10-05,1782.0,,,,
1989-10-07,176.0,,,,
1989-10-08,1697.0,,,,
1989-10-10,1839.0,,,,
1989-10-11,1911.0,,,,
1989-11-01,158.0,,,,
1989-11-04,1846.0,,,,
1989-11-05,1722.0,,,,
1989-11-07,1713.0,,,,
1989-11-08,1691.0,,,,
1989-11-09,1772.0,,,,
1989-11-10,1842.0,,,,
1989-11-12,1911.0,,,,
1989-12-01,1575.0,,,,
1989-12-04,1827.0,,,,
1989-12-05,1734.0,,,,
1989-12-06,170.0,,,,
1989-12-07,1716.0,,,,
1989-12-09,1766.0,,,,
1989-12-10,1862.0,,,,
1989-12-12,191.0,,,,
1990-01-02,1993.0,,,,
1990-01-03,1924.0,,,,
1990-01-05,1725.0,,,,
1990-01-06,1637.0,,,,
1990-01-08,208.0,,,,
1990-01-10,3705.0,,,,
1990-01-11,3457.0,,,,
1990-02-01,2051.0,,,,
1990-02-02,2019.0,,,,
1990-02-03,1928.0,,,,
1990-02-04,1862.0,,,,
1990-02-05,1719.0,,,,
1990-02-07,1587.0,,,,
1990-02-08,2195.0,,,,
1990-02-10,3383.0,,,,
1990-02-11,3355.0,,,,
1990-03-01,2169.0,,,,
1990-03-04,1848.0,,,,
1990-03-05,1654.0,,,,
1990-03-07,1597.0,,,,
1990-03-08,2348.0,,,,
1990-03-09,2855.0,,,,
1990-03-10,3662.0,,,,
1990-03-12,2972.0,,,,
1990-04-01,2151.0,,,,
1990-04-04,1809.0,,,,
1990-04-05,1633.0,,,,
1990-04-06,161.0,,,,
1990-04-07,1598.0,,,,
1990-04-09,292.0,,,,
1990-04-10,3592.0,,,,
1990-04-12,307.0,,,,
1990-05-01,220.0,,,,
1990-05-02,1978.0,,,,
1990-05-03,1943.0,,,,
1990-05-04,1765.0,,,,
1990-05-06,1576.0,,,,
1990-05-07,159.0,,,,
1990-05-09,2989.0,,,,
1990-05-10,3735.0,,,,
1990-05-11,3186.0,,,,
1990-05-12,2733.0,,,,
1990-06-02,1988.0,,,,
1990-06-03,1933.0,,,,
1990-06-04,178.0,,,,
1990-06-06,1561.0,,,,
1990-06-07,1586.0,,,,
1990-06-08,2678.0,,,,
1990-06-09,3093.0,,,,
1990-06-11,3225.0,,,,
1990-06-12,268.0,,,,
1990-07-02,1969.0,,,,
1990-07-03,1913.0,,,,
1990-07-06,1561.0,,,,
1990-07-08,274.0,,,,
1990-07-09,3025.0,,,,
1990-07-11,3483.0,,,,
1990-07-12,2718.0,,,,
1990-08-01,2052.0,,,,
1990-08-02,1948.0,,,,
1990-08-03,1886.0,,,,
1990-08-05,167.0,,,,
1990-08-06,1565.0,,,,
1990-08-08,2498.0,,,,
1990-08-10,3832.0,,,,
1990-08-11,3489.0,,,,
1990-09-01,2014.0,,,,
1990-09-02,196.0,,,,
1990-09-03,1888.0,,,,
1990-09-04,173.0,,,,
1990-09-05,1733.0,,,,
1990-09-07,159.0,,,,
1990-09-08,2475.0,,,,
1990-09-10,4015.0,,,,
1990-09-11,335.0,,,,
1990-10-01,2073.0,,,,
1990-10-04,1665.0,,,,
1990-10-05,1733.0,,,,
1990-10-07,1607.0,,,,
1990-10-08,2547.0,,,,
1990-10-09,309.0,,,,
1990-10-10,3894.0,,,,
1990-10-12,2773.0,,,,
1990-11-01,2027.0,,,,
1990-11-04,1684.0,,,,
1990-11-05,176.0,,,,
1990-11-06,1555.0,,,,
1990-11-07,1637.0,,,,
1990-11-09,3063.0,,,,
1990-11-10,3973.0,,,,
1990-11-12,2702.0,,,,
1990-12-01,2005.0,,,,
1990-12-02,1933.0,,,,
1990-12-03,1862.0,,,,
1990-12-04,1682.0,,,,
1990-12-06,1597.0,,,,
1990-12-07,175.0,,,,
1990-12-09,3063.0,,,,
1990-12-10,3949.0,,,,
1990-12-11,321.0,,,,
1990-12-12,2591.0,,,,
1991-01-02,1982.0,,,,
1991-01-03,1889.0,,,,
1991-01-05,1957.0,,,,
1991-01-07,1881.0,,,,
1991-01-08,194.0,,,,
1991-01-10,2099.0,,,,
1991-01-11,2251.0,,,,
1991-02-01,2644.0,,,,
1991-02-04,1799.0,,,,
1991-02-05,1945.0,,,,
1991-02-07,1884.0,,,,
1991-02-08,195.0,,,,
1991-02-09,2063.0,,,,
1991-02-10,2115.0,,,,
1991-02-12,1973.0,,,,
1991-03-01,2489.0,,,,
1991-03-04,1811.0,,,,
1991-03-05,1966.0,,,,
1991-03-06,1923.0,,,,
1991-03-07,1867.0,,,,
1991-03-09,2058.0,,,,
1991-03-10,2156.0,,,,
1991-03-12,1922.0,,,,
1991-04-01,2356.0,,,,
1991-04-02,1977.0,,,,
1991-04-03,1963.0,,,,
1991-04-04,1873.0,,,,
1991-04-06,1912.0,,,,
1991-04-07,1869.0,,,,
1991-04-09,2025.0,,,,
1991-04-10,2144.0,,,,
1991-04-11,2238.0,,,,
1991-04-12,1939.0,,,,
1991-05-02,1969.0,,,,
1991-05-03,195.0,,,,
1991-05-04,1861.0,,,,
1991-05-06,1865.0,,,,
1991-05-07,1892.0,,,,
1991-05-08,1953.0,,,,
1991-05-09,2013.0,,,,
1991-05-11,2241.0,,,,
1991-05-12,1913.0,,,,
1991-06-02,2016.0,,,,
1991-06-03,1922.0,,,,
1991-06-06,1849.0,,,,
1991-06-08,1943.0,,,,
1991-06-09,2007.0,,,,
1991-06-11,2205.0,,,,
1991-06-12,1888.0,,,,
1991-07-01,2679.0,,,,
1991-07-02,2018.0,,,,
1991-07-03,1889.0,,,,
1991-07-05,1999.0,,,,
1991-07-06,185.0,,,,
1991-07-08,1943.0,,,,
1991-07-10,2168.0,,,,
1991-07-11,2197.0,,,,
1991-08-01,2624.0,,,,
1991-08-02,1998.0,,,,
1991-08-03,1881.0,,,,
1991-08-04,1881.0,,,,
1991-08-05,2014.0,,,,
1991-08-07,1923.0,,,,
1991-08-08,1962.0,,,,
1991-08-10,2174.0,,,,
1991-08-11,2184.0,,,,
1991-09-01,2615.0,,,,
1991-09-04,1881.0,,,,
1991-09-05,2014.0,,,,
1991-09-07,1925.0,,,,
1991-09-08,196.0,,,,
1991-09-09,1984.0,,,,
1991-09-10,221.0,,,,
1991-09-12,1801.0,,,,
1991-10-01,2625.0,,,,
1991-10-04,1941.0,,,,
1991-10-05,196.0,,,,
1991-10-06,1804.0,,,,
1991-10-07,1943.0,,,,
1991-10-09,1995.0,,,,
1991-10-10,2185.0,,,,
1991-10-12,1816.0,,,,
1991-11-01,2567.0,,,,
1991-11-02,2051.0,,,,
1991-11-03,1837.0,,,,
1991-11-04,1955.0,,,,
1991-11-06,1807.0,,,,
1991-11-07,1925.0,,,,
1991-11-09,2016.0,,,,
1991-11-10,2204.0,,,,
1991-11-11,2148.0,,,,
1991-11-12,1823.0,,,,
1991-12-02,2061.0,,,,
1991-12-03,1903.0,,,,
1991-12-04,2002.0,,,,
1991-12-06,1799.0,,,,
1991-12-07,1974.0,,,,
1991-12-08,1962.0,,,,
1991-12-09,2014.0,,,,
1991-12-11,2127.0,,,,
1991-12-12,1858.0,,,,
1992-01-04,184.0,,,,
1992-01-05,197.0,,,,
1992-01-06,2079.0,,,,
1992-01-07,206.0,,,,
1992-01-09,2013.0,,,,
1992-01-10,2045.0,,,,
1992-01-12,1849.0,,,,
1992-02-01,1836.0,,,,
1992-02-03,1722.0,,,,
1992-02-04,1833.0,,,,
1992-02-06,2082.0,,,,
1992-02-07,2075.0,,,,
1992-02-09,2013.0,,,,
1992-02-10,205.0,,,,
1992-02-11,1955.0,,,,
1992-02-12,1834.0,,,,
1992-03-01,1812.0,,,,
1992-03-02,1816.0,,,,
1992-03-03,1743.0,,,,
1992-03-04,1876.0,,,,
1992-03-06,2107.0,,,,
1992-03-07,208.0,,,,
1992-03-08,2021.0,,,,
1992-03-09,2009.0,,,,
1992-03-11,195.0,,,,
1992-03-12,1808.0,,,,
1992-04-02,183.0,,,,
1992-04-03,1742.0,,,,
1992-04-06,2116.0,,,,
1992-04-08,1999.0,,,,
1992-04-09,2019.0,,,,
1992-04-11,1915.0,,,,
1992-04-12,1805.0,,,,
1992-05-02,183.0,,,,
1992-05-03,1741.0,,,,
1992-05-05,1969.0,,,,
1992-05-06,213.0,,,,
1992-05-08,1984.0,,,,
1992-05-10,2036.0,,,,
1992-05-11,1938.0,,,,
1992-06-01,1812.0,,,,
