month,p5,p50,p95
1,-24929.775305073705,21910.148667709153,69021.99911411892
2,-106813.61462737115,22237.826894391383,271289.1087871139
3,-372900.8016121613,15613.049190093414,879385.3260849424
4,-1198490.5355758148,9231.174082347221,2360149.9901508857
5,-3663835.821563631,5625.366519973113,6041764.640997459
6,-10690433.099966051,2142.01724215122,14780550.407419913
7,-27887503.704519242,1889.5649039720652,38289932.088704474
8,-75991581.54588127,851.4115144603205,86237099.41058904
9,-189114601.1120132,515.0834936970075,201104616.6436214
10,-418110673.2334015,1310.8946853175858,530549350.89017266
11,-1107587106.8587759,1745.4309743253743,1245652890.9566722
12,-2843264080.978233,830.9695766597572,2827492597.779678
13,-6308089408.690409,3670.8047101142756,6230253934.422723
14,-15301522083.395304,5095.889594468465,14206353708.242386
15,-34857709663.57862,11379.95825495569,35078766146.70257
16,-72993482292.92145,16806.489189320593,77102647874.00658
17,-183857567625.11044,14207.102550140775,173084977409.35733
18,-400641762789.13025,7826.824195006086,435526568026.8347
19,-790227362583.9524,42267.877318658386,1144012227585.0024
20,-1975748499963.4124,17252.571622410767,2150565373799.4294
21,-4050907264848.1143,198190.98760873993,5207104226404.781
22,-9472498713664.234,713433.8695013514,11174564479112.285
23,-21351481876412.99,514392.46955493104,25988593149925.926
24,-40126980028667.59,272140.3654296126,60769303267285.88
25,-82275351707913.75,171417.92510048862,149762782741063.03
26,-225693449317907.22,4361.323313385456,293277026598424.2
27,-521659229697141.4,67342.48337437086,615781348052235.6
28,-1216635603595044.5,439232.84803265706,1204084573480184.5
29,-2363451372820937.5,902791.8721363063,3050251095065909.5
30,-4795806751914815.0,-2137.3525409868917,6891809871226168.0
31,-1.1236222279847878e+16,6159471.239940747,1.4483596246544364e+16
32,-2.486676004963655e+16,1117132.7383710463,2.7736082019591056e+16
33,-5.938585480676731e+16,-284918.40067787346,5.432484805279375e+16
34,-1.3945358656688843e+17,32759.403768607313,1.02707339914733e+17
35,-2.609148508511205e+17,6382356.747302016,2.4111707332662384e+17
36,-5.431071591325884e+17,27490532.27348546,5.723590839559792e+17
