month,p5,p50,p95
1,-119.49563928008394,2371.992100857484,4883.994069109712
2,-639.1206383362651,2202.432599470588,7916.454653465753
3,-1112.449381831034,1901.9776290991279,11796.148436960682
4,-1529.4321366969348,1580.0683278680635,15929.461482626291
5,-2086.9505187089367,1238.0370280161042,20559.117356794704
6,-2641.8828449470343,982.6885519012877,25743.61895539956
7,-3469.918663744822,676.8369969489027,32091.081588120247
8,-4355.306946855331,445.1992555442824,39403.555963946426
9,-5648.962042924956,284.22760052490736,43864.70736769306
10,-7150.739907281183,157.22224134951594,53090.310304064056
11,-8616.945293629333,106.16049314076866,58134.984824246465
12,-10407.580079912072,64.68118723076662,64055.39738919523
13,-12607.38906514055,38.34124859943995,70847.87606200918
14,-15355.885470727037,22.06625925894242,74945.2183684366
15,-18350.42345144881,11.442494951221033,79358.00824448613
16,-19678.64819372009,7.068292771694206,80957.81637639597
17,-21299.029593873795,4.585250421683723,83689.07594833356
18,-23147.393255827108,2.2946533847353807,89024.71100755455
19,-27131.450756537808,1.4484049790218272,95695.7907918981
20,-29760.07827099852,0.8784753593941281,101648.29494763812
21,-31539.35590443264,0.5264565199394522,101428.48340239002
22,-33484.76055374282,0.24363324044604143,108925.99003428059
23,-38019.702910920925,0.1777609172796658,118510.05575678244
24,-45447.5839949373,0.08762988692315343,109177.09122624807
25,-45961.36613055871,0.0710992207336566,100198.4646514501
26,-51888.3228058745,0.024151833727850614,97676.69010777144
27,-51996.804731925215,0.012060230612248873,101486.08878019339
28,-55492.83893361408,0.006169052525749882,102882.88220509552
29,-55791.77407653247,0.006996095978508598,105136.28930651685
30,-59198.518174693316,0.0036761550180187934,111563.26924974793
31,-59214.350228209936,0.004898202148366294,101252.89997294973
32,-64070.925057764674,0.0030715558446447718,105246.33414417793
33,-59564.834700729116,0.000926996927944859,109503.62248324155
34,-70009.36886936109,0.0007618500409760408,106734.58786797556
35,-73316.65213400061,0.0007345322398872302,117325.17071605667
36,-74534.86573233778,0.00048634459786493756,109759.87705325011
